编号,平台/渠道,国家/地区,店铺数量,运行环境,所在机器/位置,消息提醒特点,第一阶段接入方式,插件是否必须,邮件是否可用,优先级,备注
001,eBay,国外,4,远程服务器/邮箱提醒,多环境,买家消息会发邮件到网易邮箱大师,IMAP邮件采集,后续可补,是,高,扬总eBay、青瓜eBay、yukl eBay、Winnie的eBay
002,Game Club,日本,3,云端浏览器/独立运营环境,本地电脑里的云端浏览器环境,日本平台消息不明显但会发邮件提醒,IMAP邮件采集,后续可补,是,高,老gc、gc2、gc3
003,Shopee,台湾,4,云端浏览器/独立运营环境,本地电脑里的云端浏览器环境,不会发邮件，主要靠网页弹窗或红点,浏览器插件巡检,必须,否,最高,这类必须先做插件监控
004,Shopee,马来西亚,1,云端浏览器/独立运营环境,本地电脑里的云端浏览器环境,不会发邮件，主要靠网页弹窗或红点,浏览器插件巡检,必须,否,最高,先监控是否有新消息和未回复
005,Discord,多环境,2,不同云环境/聊天环境,不同云端环境,聊天消息分散且容易漏看,浏览器插件巡检,必须,可能不可用,高,先按网页聊天监控处理
006,网易邮箱大师,中台电脑,多个邮箱,本地软件,中台电脑,所有收件箱统一显示多个平台邮件,中台IMAP多邮箱采集,否,是,最高,程序不读界面，直接读每个邮箱IMAP
007,客服中台,本地,1,本地系统,中台电脑,统一显示新消息、慢回复、敷衍、违规告警,本地API + 前端工作台,否,否,最高,当前访问 http://localhost:5173



